"sample.s","b0","divisor","NBod","nsnpi","full","short","fullNBod","fullBBod","fullb0","shrtNBod","shrtBBod","shrtb0"
2,0,8,0.01,1,0.058,0.064,0.00828463137905224,0.000427118449663115,-0.00289447146733563,0.00817661892458122,0.00817661892458122,-0.00244171329796958
2,0,8,0.1,1,0.05,0.06,0.0884843801588798,0.0121941561290433,-0.000149514459880159,0.0749643489956858,0.0749643489956858,-0.00341998687587971
2,0,8,0.5,1,0.04,0.042,0.461689755686359,0.0627429009902068,0.003836025801141,0.327157785080389,0.327157785080389,0.00223561609615272
2,0,8,2,1,0.068,0.036,1.88462717414073,0.229339317006194,-0.00718750931389509,1.26686440215551,1.26686440215551,-0.014243299870906
2,0,8,0.01,2,0.062,0.066,0.00832894132050864,0.000576626392301057,-0.00269214834956467,0.00828759899816904,0.00828759899816904,-0.00265414374152893
2,0,8,0.1,2,0.052,0.064,0.0886404794780313,0.0123604341342406,-0.00171532256875658,0.0767432845326448,0.0767432845326448,-0.00309959618171502
2,0,8,0.5,2,0.056,0.054,0.461958301338034,0.0577490570733285,0.00688950096286682,0.315631401318833,0.315631401318833,0.00615712666171252
2,0,8,2,2,0.142,0.056,1.88577140089077,0.231887204609124,-0.0063617036664727,1.15141293698241,1.15141293698241,-0.0139836945634672
2,0,8,0.01,4,0.06,0.058,0.0085657466380666,0.00549222921357659,-1.1618438299624e-05,0.00854171989114307,0.00854171989114307,-1.48187569494444e-05
2,0,8,0.1,4,0.056,0.062,0.0906992420977241,0.0128510584941049,-0.00661896009624333,0.0817006536361055,0.0817006536361055,-0.00737618962864999
2,0,8,0.5,4,0.116,0.094,0.474169701842944,0.0587335297648314,0.0085601815505982,0.322151807034847,0.322151807034847,0.00826486897963779
2,0,8,2,4,0.184,0.086,1.90181697302378,0.231445552426663,0.00190998107769061,1.08560561321946,1.08560561321946,-0.00660608245829222
