GeneRowID	MarkerRowID	Family	Chisq	Pvalue
1	1	5	32.269	1.34e-08
1	2	5	0.032	8.57e-01
1	3	5	0.001	9.81e-01
1	4	5	0.912	3.40e-01
1	5	5	0.076	7.83e-01
1	6	5	0.190	6.63e-01
1	7	5	1.499	2.21e-01
1	8	5	0.003	9.55e-01
1	9	5	0.685	4.08e-01
1	10	5	1.675	1.96e-01
1	11	5	5.120	2.37e-02
1	12	5	3.170	7.50e-02
1	13	5	1.905	1.68e-01
1	14	5	0.832	3.62e-01
1	15	5	0.345	5.57e-01
1	16	5	11.042	8.91e-04
1	17	5	0.017	8.95e-01
1	18	5	1.278	2.58e-01
1	19	5	1.178	2.78e-01
1	20	5	0.838	3.60e-01
1	21	5	0.326	5.68e-01
1	22	5	0.046	8.30e-01
1	23	5	0.871	3.51e-01
1	24	5	1.319	2.51e-01
1	25	5	1.347	2.46e-01
1	26	5	3.266	7.07e-02
1	27	5	0.239	6.25e-01
1	28	5	0.036	8.49e-01
1	29	5	7.919	4.89e-03
1	30	5	0.578	4.47e-01
2	41	5	4.313	3.78e-02
2	42	5	0.289	5.91e-01
2	43	5	0.068	7.95e-01
2	44	5	10.155	1.44e-03
2	45	5	0.049	8.24e-01
2	46	5	6.711	9.58e-03
2	47	5	1.713	1.91e-01
2	48	5	5.066	2.44e-02
2	49	5	0.050	8.23e-01
2	50	5	4.304	3.80e-02
2	51	5	0.739	3.90e-01
2	52	5	1.361	2.43e-01
2	53	5	1.313	2.52e-01
2	54	5	0.000	9.92e-01
2	55	5	0.988	3.20e-01
2	56	5	2.775	9.58e-02
2	57	5	0.135	7.14e-01
2	58	5	0.106	7.45e-01
2	59	5	0.008	9.27e-01
2	60	5	0.416	5.19e-01
2	61	5	1.553	2.13e-01
2	62	5	0.005	9.42e-01
2	63	5	0.107	7.43e-01
2	64	5	0.065	7.99e-01
2	65	5	0.009	9.26e-01
2	66	5	0.335	5.63e-01
2	67	5	0.877	3.49e-01
2	68	5	0.524	4.69e-01
2	69	5	0.113	7.37e-01
2	70	5	0.409	5.23e-01
2	71	5	0.693	4.05e-01
2	72	5	0.067	7.96e-01
2	73	5	0.233	6.29e-01
2	74	5	0.220	6.39e-01
2	75	5	3.825	5.05e-02
2	76	5	1.135	2.87e-01
2	77	5	0.652	4.19e-01
2	78	5	3.766	5.23e-02
2	79	5	0.506	4.77e-01
2	80	5	0.700	4.03e-01
2	81	5	1.683	1.95e-01
2	82	5	1.668	1.97e-01
2	83	5	0.000	9.86e-01
2	84	5	1.258	2.62e-01
2	85	5	0.001	9.79e-01
2	86	5	0.005	9.42e-01
2	87	5	0.078	7.81e-01
2	88	5	0.054	8.17e-01
2	89	5	0.068	7.94e-01
2	90	5	0.010	9.19e-01
2	91	5	0.251	6.17e-01
2	92	5	0.073	7.87e-01
2	93	5	1.966	1.61e-01
2	94	5	0.174	6.77e-01
2	95	5	0.711	3.99e-01
2	96	5	3.943	4.71e-02
2	97	5	0.253	6.15e-01
2	98	5	0.026	8.73e-01
2	99	5	0.042	8.38e-01
2	100	5	0.217	6.41e-01
