names.pvalb.,pvalb,permp
ENSG00000181404.15_1,2.35212994681398e-06,0.001
ENSG00000181404.15_2,4.34034367839346e-06,0.005
ENSG00000181404.15_3,1.073154300511e-06,0.001
ENSG00000181404.15_4,5.99311574758305e-06,0.001
ENSG00000181404.15_5,6.38131854607446e-06,0.003
ENSG00000181404.15_6,6.79466750942169e-06,0.002
ENSG00000181404.15_7,1.54300841034342e-06,0.001
ENSG00000181404.15_8,3.80541998362531e-06,0.003
ENSG00000181404.15_9,4.82065550377736e-06,0.004
ENSG00000181404.15_10,1.36686749998204e-06,0.003
ENSG00000181404.15_11,9.29945570931735e-06,0.001
ENSG00000181404.15_12,9.90183016855105e-06,0.003
ENSG00000181404.15_13,2.04108840100241e-06,0.002
ENSG00000181404.15_14,5.17900871114464e-06,0
ENSG00000181404.15_15,4.76504112025962e-06,0.003
ENSG00000181404.15_16,3.97459152706124e-06,0.001
ENSG00000181404.15_17,1.35520682951968e-05,0.006
ENSG00000181404.15_18,5.3972363906427e-06,0.001
ENSG00000181404.15_19,1.53646194688762e-05,0.01
ENSG00000181404.15_20,1.047349923654e-05,0.009
ENSG00000181404.15_21,4.55068270931631e-06,0.002
ENSG00000181404.15_22,4.95078598457281e-06,0.008
ENSG00000181404.15_23,9.73939930000907e-06,0.006
ENSG00000181404.15_24,3.766206445017e-06,0.002
ENSG00000181404.15_25,2.04984055364821e-05,0.009
ENSG00000181404.15_26,3.18164034127017e-06,0.001
ENSG00000181404.15_27,1.98386299373959e-06,0.001
ENSG00000181404.15_28,2.41056227008664e-05,0.012
ENSG00000181404.15_29,2.87809097547642e-05,0.011
ENSG00000181404.15_30,4.68128482104641e-07,0.001
ENSG00000181404.15_31,3.00960631598601e-06,0
ENSG00000181404.15_32,1.0243246600888e-05,0.003
ENSG00000181404.15_33,2.76752957215072e-05,0.015
ENSG00000181404.15_34,1.85703919455488e-05,0.012
ENSG00000181404.15_35,3.50529233829999e-05,0.02
ENSG00000181404.15_36,8.2362362900435e-06,0.005
ENSG00000181404.15_37,9.60020790467051e-06,0.004
ENSG00000181404.15_38,3.17206662110261e-05,0.018
ENSG00000181404.15_39,4.15240514475138e-06,0.002
ENSG00000181404.15_40,1.92945528744585e-06,0
ENSG00000181404.15_41,1.01737985336405e-05,0.008
ENSG00000181404.15_42,4.69095731095217e-05,0.02
ENSG00000181404.15_43,6.92986398250736e-05,0.041
ENSG00000181404.15_44,2.32715145428755e-05,0.011
ENSG00000181404.15_45,2.68096985855351e-06,0.001
ENSG00000181404.15_46,8.36567777796385e-05,0.039
ENSG00000181404.15_47,9.07870978058413e-07,0.001
ENSG00000181404.15_48,2.95353342084015e-05,0.011
ENSG00000181404.15_49,0.000100989864623596,0.045
ENSG00000181404.15_50,2.44347218121044e-05,0.015
ENSG00000181404.15_51,6.50125909031268e-05,0.029
ENSG00000181404.15_52,0.000121914309163051,0.048
ENSG00000181404.15_53,9.57424577771328e-05,0.052
ENSG00000181404.15_54,0.000113830900633638,0.056
ENSG00000181404.15_55,7.14756324354471e-05,0.042
ENSG00000181404.15_56,2.71330757066694e-05,0.015
ENSG00000181404.15_57,7.42999674981987e-05,0.047
ENSG00000181404.15_58,0.000177667981996856,0.076
ENSG00000181404.15_59,5.64358018006169e-05,0.02
ENSG00000181404.15_60,0.000138684065985251,0.072
ENSG00000181404.15_61,9.48101126065092e-05,0.043
ENSG00000181404.15_62,1.43655384070498e-05,0.007
ENSG00000181404.15_63,0.000193821127423887,0.084
ENSG00000181404.15_64,0.000143500977544104,0.066
ENSG00000181404.15_65,2.96176486259619e-07,0.001
ENSG00000181404.15_66,3.3099922087889e-05,0.013
ENSG00000181404.15_67,0.000312566662888931,0.115
ENSG00000181404.15_68,6.81102759136937e-05,0.032
ENSG00000181404.15_69,7.30112516655325e-05,0.036
ENSG00000181404.15_70,0.000219812620335624,0.077
ENSG00000181404.15_71,0.000137774563400338,0.054
ENSG00000181404.15_72,0.000427799177582095,0.185
ENSG00000181404.15_73,0.000132532779116746,0.069
ENSG00000181404.15_74,0.000104801295563792,0.05
ENSG00000181404.15_75,5.26926332188298e-05,0.019
ENSG00000181404.15_76,0.000101926420220639,0.041
ENSG00000181404.15_77,3.62314094589554e-05,0.032
ENSG00000181404.15_78,2.06829285032393e-05,0.017
ENSG00000181404.15_79,0.000663830552203791,0.225
ENSG00000181404.15_80,9.38441237874074e-06,0.003
ENSG00000181404.15_81,7.90034311388132e-05,0.037
ENSG00000181404.15_82,2.79478194397735e-05,0.014
ENSG00000181404.15_83,1.35096799981011e-05,0.013
ENSG00000181404.15_84,3.42384931086012e-05,0.021
ENSG00000181404.15_85,4.79120586330613e-05,0.026
ENSG00000181404.15_86,0.000123501889835237,0.06
ENSG00000181404.15_87,0.000520501761180751,0.182
ENSG00000181404.15_88,5.08941429474034e-05,0.022
ENSG00000181404.15_89,0.00124352796657051,0.34
ENSG00000181404.15_90,0.000787660387288171,0.276
ENSG00000181404.15_91,0.000687402169305572,0.234
ENSG00000181404.15_92,0.00112159573471748,0.343
ENSG00000181404.15_93,0.00159843729272531,0.438
ENSG00000181404.15_94,0.000269038159598958,0.123
ENSG00000181404.15_95,0.000655323064943727,0.229
ENSG00000181404.15_96,0.000812812393727269,0.255
ENSG00000181404.15_97,0.000166675891704418,0.068
ENSG00000181404.15_98,0.000371590642347619,0.151
ENSG00000181404.15_99,5.57282913455772e-05,0.028
ENSG00000181404.15_100,0.000115822876396586,0.059
ENSG00000181404.15_101,8.20241471195031e-06,0.007
ENSG00000181404.15_102,9.29945570931741e-06,0.001
ENSG00000181404.15_103,7.28953684806216e-06,0.002
ENSG00000181404.15_104,9.89501314875856e-06,0.011
ENSG00000181404.15_105,1.53646194688748e-05,0.01
ENSG00000181404.15_106,1.5278251653408e-05,0.011
ENSG00000181404.15_107,1.97494305428115e-05,0.006
ENSG00000181404.15_108,1.48132275580552e-05,0.004
ENSG00000181404.15_109,3.13719408264236e-05,0.018
ENSG00000181404.15_110,3.93909862827347e-05,0.024
ENSG00000181404.15_111,4.19426050478861e-05,0.012
ENSG00000181404.15_112,1.90023646979015e-05,0.012
ENSG00000181404.15_113,2.02059347928971e-05,0.014
ENSG00000181404.15_114,5.06327127110709e-05,0.021
ENSG00000181404.15_115,5.39125465968122e-05,0.024
ENSG00000181404.15_116,5.74048416512878e-05,0.033
ENSG00000181404.15_117,1.79925121731281e-05,0.009
ENSG00000181404.15_118,4.67727919595532e-05,0.022
ENSG00000181404.15_119,8.90758535213543e-05,0.045
ENSG00000181404.15_120,9.48459690651217e-05,0.049
