Name chr start end width strand leno
ENSG00000227232.5 chr1 14410 29553 15144 - 15144
ENSG00000268903.1 chr1 135141 135895 755 - 755
ENSG00000269981.1 chr1 137682 137965 284 - 284
ENSG00000241860.6 chr1 141474 173862 32389 - 32389
ENSG00000279457.4 chr1 185217 195411 10195 - 10195
ENSG00000228463.9 chr1 257864 297502 39639 - 39639
ENSG00000237094.11 chr1 366053 501617 135565 - 135565
ENSG00000225972.1 chr1 629062 629433 372 + 372
ENSG00000225630.1 chr1 629640 630683 1044 + 1044
ENSG00000237973.1 chr1 631074 632616 1543 + 1543
