,Est,SE,P-val,Marg.Est,Marg.P
(Intercept),5.493,3.357,1.0e-01,3.475,4.1e-06
log(OD_BB),3.51,0.624,6.1e-08,0.126,8.4e-01
ASReC_R,2.991,1.389,3.2e-02,4.531,1.8e-09
n-fSNP,2.903,1.164,1.3e-02,5.071,5.9e-12
ASReC_R:n-SNP,0.753,0.979,4.4e-01,0.351,6.4e-01
ASReC_R:log(OD_BB),0.472,0.588,4.2e-01,3.679,3.3e-18
n-fSNP:log(OD_BB),0.197,0.559,7.2e-01,2.147,1.5e-07
ASReC_R:n-fSNP:log(OD_BB),-0.506,0.485,3.0e-01,-1.656,2.3e-05
n-rSNP,-0.185,0.554,7.4e-01,0.162,8.3e-01
log(OD_NB),-3.269,0.577,4.9e-08,-4.463,5.1e-16
ASReC_T,-0.576,1.064,5.9e-01,3.406,2.1e-06
ASReC_T:ASReC_R,-1.545,0.455,8.2e-04,-1.78,1.3e-03
AF,-0.698,0.51,1.7e-01,-1.437,4.0e-02
Chi2-HWEC,-0.102,0.585,8.6e-01,0.618,4.5e-01
Map.Err,-0.515,0.42,2.2e-01,-1.086,1.1e-02
Ref.Bias,1.291,0.501,1.1e-02,0.092,8.7e-01
Med(perm-p),-1.175,0.831,1.6e-01,-3.696,1.6e-08
