,Est,SE,P-val,Marg.Est,Marg.P
(Intercept),0.051,0.121, 6.7e-01,0.147, 5.6e-15
log(OD_BB),0.772,0.024,2.4e-212,0.516,4.2e-167
ASReC_R,0.573,0.054, 2.4e-26,0.082, 1.4e-05
n-fSNP,0.381,0.023, 1.9e-62,0.372, 1.9e-88
ASReC_R:n-fSNP,0.2,0.02, 1.7e-23,0.012, 4.5e-01
ASReC_R:log(OD_BB),0.373,0.02, 1.5e-79,0.145, 2.1e-19
n-fSNP:log(OD_BB),0.232,0.02, 1.4e-31,0.117, 6.9e-13
ASReC_R:n-fSNP:log(OD_BB),0.069,0.015, 2.1e-06,-0.044, 7.7e-05
n-rSNP,0.035,0.019, 6.5e-02,0.268, 1.3e-45
log(OD_NB),0.013,0.021, 5.4e-01,0.273, 6.2e-48
ASReC_T,-0.355,0.049, 4.7e-13,-0.004, 8.5e-01
ASReC_T:ASReC_R,0.111,0.017, 2.2e-11,0.052, 1.4e-03
AF,-0.036,0.017, 3.9e-02,-0.014, 4.7e-01
Chi2-HWEC,-0.123,0.017, 1.6e-12,-0.167, 7.6e-19
Map.Err,-0.03,0.021, 1.6e-01,0.172, 2.5e-19
Ref.Bias,0.107,0.022, 1.7e-06,0.246, 2.4e-38
Med(perm-p),0.003,0.029, 9.1e-01,-0.094, 6.0e-07
