,SumSq,Typ1per,T1P-val,Typ3per,T3P-val,Marg.R
log(OD_BB),1024,1.2, 9.8e-43,4,3.9e-135,1.2
ASReC_R,3037,3.6,1.4e-121,1, 2.8e-36,1.9
n-fSNP,1315,1.5, 2.8e-54,1.5, 3.4e-52,2.9
ASReC_R:n-fSNP,619,0.7, 1.4e-26,0.6, 2.3e-21,0
ASReC_R:log(OD_BB),2601,3.1,1.0e-104,2.3, 1.1e-79,1.5
n-fSNP:log(OD_BB),414,0.5, 2.6e-18,0.7, 3.9e-27,0.4
ASReC_R:n-fSNP:log(OD_BB),279,0.3, 7.7e-13,0.4, 1.7e-15,0.1
n-rSNP,30,0, 1.8e-02,0.1, 9.2e-04,1.1
log(OD_NB),400,0.5, 9.5e-18,0.7, 8.2e-26,0.1
ASReC_T,353,0.4, 7.1e-16,0.5, 1.8e-17,1
ASReC_T:ASReC_R,233,0.3, 5.3e-11,0.2, 3.8e-09,0
AF,15,0, 9.6e-02,0, 1.3e-01,0
Chi2-HWEC,246,0.3, 1.7e-11,0.3, 3.7e-11,0.5
Map.Err,5,0, 3.6e-01,0.1, 7.2e-04,0.1
Ref.Bias,252,0.3, 9.5e-12,0.3, 1.0e-11,0.3
Med(perm-p),11,0, 1.5e-01,0, 1.5e-01,1.6
