,Est,SE,P-val,Marg.Est,Marg.P
(Intercept),5.901,3.152,6.2e-02,4.322,3.9e-09
log(OD_BB),2.953,0.567,4.3e-07,-0.911,9.9e-02
ASReC_R,2.057,1.236,9.7e-02,3.613,7.6e-07
n-fSNP,1.849,0.726,1.2e-02,4.354,5.8e-10
ASReC_R:n-SNP,1.571,0.681,2.2e-02,0.374,6.1e-01
ASReC_R:log(OD_BB),0.764,0.506,1.3e-01,3.689,1.1e-18
n-fSNP:log(OD_BB),0.521,0.401,2.0e-01,2.201,3.1e-08
ASReC_R:n-fSNP:log(OD_BB),-0.702,0.401,8.1e-02,-1.785,3.2e-06
n-rSNP,0.158,0.451,7.3e-01,0.588,3.6e-01
log(OD_NB),-4.182,0.436,1.8e-18,-3.945,1.9e-20
ASReC_T,-0.809,1.003,4.2e-01,2.558,2.5e-04
ASReC_T:ASReC_R,-1.406,0.406,6.5e-04,-1.827,6.3e-04
AF,-0.576,0.481,2.3e-01,-0.884,1.9e-01
Chi2-HWEC,0.068,0.532,9.0e-01,0.756,3.2e-01
Map.Err,-0.167,0.363,6.5e-01,-0.739,7.0e-02
Ref.Bias,0.944,0.466,4.4e-02,0.133,8.0e-01
Med(perm-p),-0.926,0.776,2.3e-01,-3.127,1.4e-06
