GeneRowID	MarkerRowID	TReC_b	TReC_Chisq	TReC_Pvalue	TreC_Conv	beta0	beta1	beta2	beta3	phi
1	1	0.3359	32.2695	0.0000000134	1	5.0490	0.0983	-0.4584	0.1371	0.0877
1	2	-0.0117	0.0324	0.8570454661	1	5.1381	0.1111	-0.4565	0.1033	0.0982
1	3	0.0016	0.0005	0.9813785624	1	5.1359	0.1114	-0.4576	0.1032	0.0982
1	4	-0.0622	0.9118	0.3396423668	1	5.1496	0.1120	-0.4568	0.0998	0.0979
1	5	-0.0182	0.0757	0.7832617221	1	5.1398	0.1108	-0.4574	0.1047	0.0982
1	6	-0.0286	0.1904	0.6625695255	1	5.1437	0.1094	-0.4573	0.1018	0.0981
1	7	-0.0797	1.4988	0.2208506693	1	5.1526	0.1193	-0.4599	0.0986	0.0977
1	8	-0.0038	0.0032	0.9548426318	1	5.1371	0.1115	-0.4580	0.1031	0.0982
1	9	-0.0558	0.6853	0.4077772944	1	5.1479	0.1209	-0.4595	0.0945	0.0980
1	10	0.0872	1.6750	0.1955857807	1	5.1154	0.1128	-0.4616	0.1081	0.0976
1	11	0.1367	5.1200	0.0236513341	1	5.1036	0.1185	-0.4646	0.1065	0.0964
1	12	0.1192	3.1697	0.0750168296	1	5.1039	0.1198	-0.4519	0.1061	0.0971
1	13	0.0890	1.9047	0.1675522043	1	5.1218	0.1144	-0.4661	0.1012	0.0975
1	14	-0.0588	0.8321	0.3616546255	1	5.1523	0.1089	-0.4628	0.1018	0.0979
1	15	-0.0404	0.3453	0.5568005623	1	5.1418	0.1151	-0.4566	0.1041	0.0981
1	16	-0.2209	11.0417	0.0008908586	1	5.1884	0.0863	-0.4392	0.0888	0.0945
1	17	0.0086	0.0174	0.8950153476	0	5.1349	0.1112	-0.4580	0.1031	0.0982
1	18	-0.0792	1.2783	0.2582084033	1	5.1533	0.1070	-0.4610	0.1068	0.0977
1	19	-0.0697	1.1784	0.2776831052	1	5.1488	0.1154	-0.4541	0.1003	0.0978
1	20	0.0591	0.8381	0.3599502239	1	5.1275	0.1070	-0.4580	0.1002	0.0979
1	21	-0.0398	0.3263	0.5678660927	1	5.1489	0.1070	-0.4595	0.1014	0.0981
1	22	-0.0152	0.0459	0.8304198510	1	5.1372	0.1137	-0.4575	0.1037	0.0982
1	23	0.0615	0.8714	0.3505590135	1	5.1249	0.1095	-0.4561	0.1023	0.0979
1	24	-0.0751	1.3189	0.2507863019	1	5.1568	0.1119	-0.4641	0.0992	0.0977
1	25	0.0729	1.3475	0.2457238852	1	5.1224	0.1095	-0.4579	0.0989	0.0977
1	26	-0.1336	3.2663	0.0707150908	1	5.1579	0.1137	-0.4455	0.0924	0.0971
1	27	0.0322	0.2392	0.6247712761	1	5.1298	0.1134	-0.4599	0.1056	0.0981
1	28	0.0125	0.0361	0.8492126975	1	5.1342	0.1097	-0.4567	0.1030	0.0982
1	29	-0.2106	7.9187	0.0048926182	1	5.1957	0.1055	-0.4711	0.0808	0.0955
1	30	0.0488	0.5775	0.4472801928	1	5.1276	0.1108	-0.4601	0.1019	0.0980
2	41	0.1275	4.3134	0.0378143399	1	5.1008	0.1157	-0.4570	0.1145	0.0967
2	42	0.0346	0.2891	0.5907759900	1	5.1288	0.1106	-0.4605	0.1087	0.0981
2	43	0.0173	0.0675	0.7950114295	1	5.1324	0.1128	-0.4587	0.1034	0.0982
2	44	0.2167	10.1551	0.0014390517	1	5.0817	0.1084	-0.4528	0.1234	0.0948
2	45	-0.0153	0.0493	0.8243695908	1	5.1389	0.1112	-0.4577	0.1038	0.0982
2	46	-0.1788	6.7108	0.0095829272	1	5.1646	0.1005	-0.4618	0.1239	0.0959
2	47	0.0915	1.7134	0.1905432835	1	5.1190	0.1096	-0.4533	0.1009	0.0976
2	48	0.1490	5.0662	0.0243963840	1	5.1053	0.1060	-0.4668	0.1190	0.0965
2	49	0.0150	0.0499	0.8231513559	1	5.1327	0.1124	-0.4567	0.1023	0.0982
2	50	-0.1434	4.3037	0.0380287164	1	5.1650	0.1173	-0.4617	0.0944	0.0967
2	51	-0.0558	0.7392	0.3899220664	1	5.1534	0.1110	-0.4604	0.0966	0.0979
2	52	0.0764	1.3606	0.2434315656	1	5.1136	0.1174	-0.4491	0.1021	0.0977
2	53	-0.0778	1.3133	0.2517908246	1	5.1542	0.1067	-0.4623	0.1066	0.0977
2	54	0.0007	0.0001	0.9916882374	1	5.1361	0.1113	-0.4576	0.1032	0.0982
2	55	0.0627	0.9877	0.3203030847	1	5.1224	0.1135	-0.4622	0.1048	0.0979
2	56	-0.1098	2.7747	0.0957650926	1	5.1547	0.1169	-0.4578	0.1026	0.0972
2	57	-0.0248	0.1347	0.7136055244	1	5.1402	0.1136	-0.4581	0.1033	0.0981
2	58	-0.0227	0.1061	0.7446812348	1	5.1417	0.1103	-0.4578	0.1013	0.0982
2	59	0.0064	0.0084	0.9270629782	1	5.1347	0.1119	-0.4577	0.1035	0.0982
2	60	0.0422	0.4161	0.5189134737	1	5.1286	0.1102	-0.4606	0.1069	0.0980
