nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,-0.76895359,0.095487915,0.584620309,0.36847822,0.37254058,0,0.675704904
ENSG00000272419.6,-8.331692743,0.61545588,0.046297835,0.063145801,0.052604859,0,0.327037542
ENSG00000227372.11,-0.471821491,0.054156702,0.734148575,0.608073845,0.607165796,0,0.758578636
ENSG00000265491.4,-0.327511933,0.026173477,0.360426752,0.342672787,0.342882405,0,0.662462041
ENSG00000131788.15,0.50914164,-0.033279656,0.46111979,0.544664495,0.544527458,1,0.743321053
ENSG00000265241.6,-0.629585341,0.041888907,0.237682809,0.304043089,0.306419443,0,0.639360294
ENSG00000235169.7,2.609372536,-0.287808886,0.066140069,0.010631909,0.008038708,0,0.116940003
ENSG00000265972.5,0.163509294,-0.00620179,0.0236392,0.27118768,0.273108212,0,0.615274856
ENSG00000264343.5,-0.330729193,0.003604464,0.807351793,0.973250242,0.973241382,0,0.827841597
ENSG00000268043.7,0.658687326,-0.038078031,0.311289919,0.454480442,0.455578354,0,0.713999609
ENSG00000131791.7,0.780282857,-0.049509015,0.009498308,0.034978381,0.037662513,0,0.285175439
ENSG00000130764.9,0.347540233,-0.036537049,0.10699572,0.029559413,0.031477073,0,0.263754089
ENSG00000131778.18,1.275484843,-0.080740154,1.86E-07,2.01E-05,2.43E-05,0,0.001645093
ENSG00000116128.10,0.962819683,-0.072081732,0.234685182,0.246847638,0.252899736,0,0.597524765
ENSG00000162836.11,0.151015049,-0.009446674,0.696854992,0.756845781,0.757000915,0,0.79566527
ENSG00000263956.6,-0.127974645,0.04321179,0.878685254,0.501322756,0.49969198,0,0.727100254
ENSG00000274020.2,-0.437879678,0.026091189,0.31184022,0.444955715,0.448072533,0,0.712452821
ENSG00000231551.8,2.335257293,-0.16560763,0.011034426,0.025086846,0.026880914,0,0.242209155
ENSG00000225871.2,1.725499965,-0.11586741,0.124137492,0.182876464,0.182390001,1,0.541269547
ENSG00000270629.5,0.519076524,-0.002264628,0.906556787,0.994565148,0.994370329,0,0.832216237
ENSG00000178104.19,0.187452472,-0.015446502,0.795643025,0.784152979,0.784147108,1,0.800515132
ENSG00000269713.7,1.022224854,-0.04851406,0.656148324,0.789027712,0.781335798,0,0.800211559
ENSG00000274265.4,-0.863211445,0.088449993,0.628334244,0.519557784,0.52643747,0,0.736540338
ENSG00000271383.6,1.658560396,-0.108882179,0.207622742,0.280477589,0.302370553,0,0.636285907
ENSG00000116198.12,-1.558950146,0.097811488,4.16E-09,1.72E-06,3.35E-06,0,0.000329873
ENSG00000150337.13,-2.922786166,0.186566527,0.18225931,0.264717003,0.284844609,0,0.622936561
ENSG00000203814.6,-0.143240787,0.034301583,0.864532809,0.598694208,0.600049486,0,0.758578636
ENSG00000261716.1,0.860831135,-0.043695081,0.414186382,0.59814648,0.599054231,0,0.758578636
ENSG00000169598.15,0.808829684,-0.053016107,0.143478503,0.214237357,0.213965621,1,0.575997139
ENSG00000178096.8,1.166790088,-0.070629485,0.341296074,0.456842464,0.456653148,0,0.713999609
ENSG00000143368.9,0.634874404,-0.03912893,0.337665094,0.459173954,0.459072128,0,0.714990954
ENSG00000198912.10,-0.300274336,0.001122637,0.399604791,0.967640206,0.967956605,0,0.827219845
ENSG00000023902.13,0.624617305,-0.046433374,0.354277965,0.370019029,0.387260952,0,0.681485767
ENSG00000143401.14,-0.328147479,0.027929995,0.472631734,0.427211581,0.427167947,1,0.701479594
ENSG00000117362.12,-0.054794198,0.010560604,0.830576675,0.599394447,0.604065578,0,0.758578636
ENSG00000266472.5,-0.233141452,0.004058702,0.39567428,0.848177618,0.848522273,0,0.811942507
ENSG00000117360.12,-0.026940808,0.009832469,0.938787159,0.716602633,0.716994928,0,0.786916264
ENSG00000163125.15,0.352485817,-0.01681085,0.191446097,0.422018679,0.421972232,1,0.698084037
ENSG00000143374.16,-0.717982173,0.041972463,0.27643118,0.410477369,0.410996834,0,0.693781623
ENSG00000143369.14,2.624546445,-0.226233726,0.120611987,0.080107856,0.080401778,0,0.398314624
ENSG00000237781.3,-0.318630146,0.007525658,0.651621441,0.891439346,0.891149442,0,0.81918199
ENSG00000143382.14,0.128290031,0.017495127,0.889587967,0.809870207,0.810155655,0,0.80474335
ENSG00000203804.4,1.430495331,-0.082905548,0.142835181,0.28923057,0.287188361,0,0.623951273
ENSG00000143384.12,0.389021175,-0.01914302,0.0011304,0.042575992,0.042961969,0,0.300821597
ENSG00000143420.18,-0.289547154,0.02967652,0.317747901,0.187657462,0.19063214,0,0.55044835
ENSG00000143457.10,-0.873019485,0.054227204,0.087736084,0.176112006,0.18062672,0,0.538708877
ENSG00000131697.17,0.66171502,-0.037364813,0.133778613,0.274162608,0.274807963,0,0.615551997
ENSG00000163131.10,0.354078933,-0.017249144,0.077157759,0.274239181,0.275261122,0,0.615994501
ENSG00000143437.20,0.114723418,-0.002349212,0.651375725,0.906658714,0.906658671,1,0.820322221
ENSG00000143379.12,-0.591822227,0.065637627,0.695392551,0.576808542,0.576408903,1,0.753019854
ENSG00000143418.19,0.321044602,-0.019408864,0.022814475,0.080056786,0.084078311,0,0.406863386
