nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,0.614035656,0.005669926,0.508936164,0.935173258,0.935327132,0,0.709613273
ENSG00000272419.6,-8.331692743,0.61545588,0.046297835,0.063145801,0.052604859,0,0.236517874
ENSG00000227372.11,-0.770790693,0.054609707,0.044182644,0.064151038,0.06402106,1,0.264114752
ENSG00000131788.15,-0.24784595,0.028221393,0.794496057,0.707816002,0.707693285,0,0.65705494
ENSG00000265241.6,-0.311375529,0.031376262,0.598386621,0.477880147,0.477905064,1,0.586006169
ENSG00000235169.7,0.632507495,-0.128444298,0.698526704,0.318980561,0.304581159,0,0.500295839
ENSG00000271601.3,-1.977642904,0.156525841,0.001871424,0.001423611,0.001554542,0,0.023768299
ENSG00000265972.5,0.163509294,-0.00620179,0.0236392,0.27118768,0.273108212,0,0.482745557
ENSG00000264343.5,-0.330729193,0.003604464,0.807351793,0.973250242,0.973241382,0,0.720412266
ENSG00000268043.7,-0.163979672,0.028930063,0.714986182,0.40488388,0.405655062,0,0.558793969
ENSG00000131791.7,0.680603126,-0.041593258,0.022653424,0.073830786,0.077598745,0,0.290329185
ENSG00000130764.9,0.347540233,-0.036537049,0.10699572,0.029559413,0.031477073,0,0.179749557
ENSG00000131778.18,1.275484843,-0.080740154,1.86E-07,2.01E-05,2.43E-05,0,0.000905377
ENSG00000162836.11,-0.003214312,-0.007005085,0.992775966,0.80168329,0.801726344,0,0.68344183
ENSG00000263956.6,-4.429988853,0.358445369,0.001037933,0.000583864,0.000730537,0,0.013585345
ENSG00000274020.2,-0.243602113,0.010671813,0.562694327,0.748322266,0.749272477,0,0.670025783
ENSG00000231551.8,-0.346746319,0.006167433,0.655062263,0.918581403,0.918595765,0,0.705770212
ENSG00000225871.2,1.725499965,-0.11586741,0.124137492,0.182876464,0.182390001,1,0.412987001
ENSG00000270629.5,0.519076524,-0.002264628,0.906556787,0.994565148,0.994370329,0,0.723633083
ENSG00000178104.19,3.683365416,-0.254011303,0.0708424,0.09243751,0.097365642,0,0.317113894
ENSG00000269713.7,5.377570723,-0.353910103,0.001069839,0.004448709,0.005501907,0,0.059216906
ENSG00000274265.4,-1.016687987,0.101442087,0.585852589,0.482442061,0.490991789,0,0.589296547
ENSG00000271383.6,-1.963764279,0.121580946,1.43E-06,0.000164181,0.000295643,0,0.006806903
ENSG00000116198.12,-1.558950146,0.097811488,4.16E-09,1.72E-06,3.35E-06,0,0.00018012
ENSG00000277147.4,-2.403412817,0.169691976,0.14883566,0.189116804,0.195131641,0,0.425430217
ENSG00000150337.13,0.997615298,-0.041616542,0.648648223,0.806860365,0.8101752,0,0.684465068
ENSG00000203814.6,0.609052409,-0.022364991,0.108506605,0.449353257,0.457658265,0,0.579632717
ENSG00000261716.1,0.072733889,0.005666075,0.857674877,0.859804799,0.86279537,0,0.695813812
ENSG00000169598.15,0.73598848,-0.052748652,0.09623653,0.120252861,0.120080391,1,0.34552499
ENSG00000184678.10,-1.046937322,0.096854795,0.463021337,0.379096052,0.385181949,0,0.546645183
ENSG00000198912.10,-0.330804837,0.003704334,0.299307727,0.879812141,0.880595592,0,0.698847312
ENSG00000143401.14,-0.933781797,0.063097132,0.048272236,0.081623111,0.081423702,1,0.294304255
ENSG00000266472.5,0.385169364,-0.012788185,0.134067821,0.519601187,0.520157497,0,0.600126828
ENSG00000163125.15,1.047950561,-0.070429421,0.009617071,0.023810524,0.023674012,1,0.153247287
ENSG00000143369.14,4.322230484,-0.339091323,0.060320149,0.052430312,0.056225037,0,0.245421462
ENSG00000143382.14,0.128290031,0.017495127,0.889587967,0.809870207,0.810155655,0,0.684465068
ENSG00000203804.4,0.938230702,-0.047211344,0.384714674,0.58740873,0.586363997,0,0.623838378
ENSG00000143384.12,0.389021175,-0.01914302,0.0011304,0.042575992,0.042961969,0,0.212630586
ENSG00000143420.18,0.011656362,0.005607608,0.950126088,0.701073939,0.701112726,0,0.65520113
ENSG00000143457.10,-1.002766807,0.065235068,0.017775194,0.048232653,0.051864195,0,0.234867788
ENSG00000131697.17,-0.794968172,0.049302926,0.064970627,0.138774859,0.139459107,0,0.368466251
ENSG00000163131.10,0.371229192,-0.018241744,0.069919939,0.258140192,0.259161244,0,0.474716859
ENSG00000143437.20,-0.511052912,0.030856392,0.384855177,0.504201808,0.503684449,0,0.594544285
ENSG00000143379.12,-0.611697758,0.051287476,0.215228732,0.187056454,0.186857271,1,0.417825013
ENSG00000143418.19,-0.341696995,0.024238768,0.002392124,0.005751527,0.006294406,0,0.06464703
ENSG00000143409.15,-0.085289969,0.012680319,0.677790999,0.437007413,0.438208395,0,0.572519938
ENSG00000143363.15,0.609884998,-0.04276611,0.266002616,0.315043964,0.314663803,0,0.506360507
ENSG00000163141.18,0.202958688,0.013304651,0.861341618,0.885172236,0.885196461,0,0.699492511
ENSG00000069424.14,0.023738491,0.004714491,0.876608306,0.694912217,0.694922576,0,0.653477296
ENSG00000213190.3,-0.077076662,0.018008596,0.837193174,0.538185358,0.538057277,0,0.607494546
ENSG00000143434.15,0.016230814,-0.01032249,0.979501689,0.827532143,0.832621095,0,0.68979907
ENSG00000163154.5,0.012413765,-0.025179899,0.988737469,0.717144233,0.723241309,0,0.660750106
ENSG00000163156.11,-1.709817239,0.122461124,0.157512369,0.197532656,0.236012309,0,0.458015948
