nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,0.534719897,0.007916257,0.701464694,0.911576217,0.910726062,0,0.818022188
ENSG00000272419.6,-5.47798054,0.256277386,0.4663108,0.515610739,0.488967398,0,0.706088035
ENSG00000227372.11,-0.344597168,0.014421425,0.527792682,0.606206252,0.606193169,1,0.746656874
ENSG00000265491.4,-0.436995551,0.025043936,0.363597778,0.314120135,0.31425249,0,0.615123324
ENSG00000186141.8,0.438465277,-0.007976205,0.914838268,0.969517288,0.969386835,0,0.824820327
ENSG00000131788.15,0.923859302,-0.043452758,0.523376273,0.572424288,0.577820547,0,0.73568
ENSG00000265241.6,-0.942106677,0.053924337,0.377820745,0.3256484,0.325571078,1,0.624565219
ENSG00000235169.7,1.615140266,-0.138315152,0.452329519,0.225211738,0.217176766,0,0.540485208
ENSG00000271601.3,-2.883246408,0.153839678,0.003061418,0.002597473,0.002911113,0,0.048791411
ENSG00000265972.5,0.31443024,-0.012118317,0.004948821,0.039397405,0.041484125,0,0.259405618
ENSG00000264343.5,-2.069737091,0.093577718,0.32157226,0.392175766,0.390963933,0,0.660357107
ENSG00000268043.7,-0.619516474,0.042958532,0.348532843,0.209358156,0.209651481,0,0.534800062
ENSG00000131791.7,0.398307939,-0.012886314,0.408155307,0.603392113,0.604650635,0,0.746097453
ENSG00000130764.9,-0.046983445,-0.003826765,0.888989311,0.827340075,0.827432283,0,0.797437012
ENSG00000131778.18,0.945687947,-0.036551733,0.009409687,0.051060036,0.051810994,0,0.29049047
ENSG00000116128.10,2.055608818,-0.099171191,0.181958432,0.211459641,0.217009933,0,0.540307103
ENSG00000162836.11,-0.68076251,0.030668977,0.154327035,0.217379575,0.217985088,0,0.541481958
ENSG00000263956.6,-7.57821666,0.401336048,0.00079946,0.00057162,0.000831674,0,0.020346401
ENSG00000274020.2,-0.837552671,0.038447437,0.12899512,0.186096003,0.191930695,0,0.519574906
ENSG00000231551.8,-1.641337881,0.071595642,0.204364267,0.287321361,0.287703476,0,0.594855768
ENSG00000225871.2,1.227441438,-0.050946339,0.517670126,0.601122875,0.601165946,1,0.745660049
ENSG00000280649.2,2.477863328,-0.13671355,0.28758373,0.260625458,0.2663859,0,0.577352527
ENSG00000270629.5,-3.567060651,0.211404813,0.584191721,0.534227048,0.51655978,0,0.71714302
ENSG00000178104.19,5.679367695,-0.274625739,0.054369578,0.065939091,0.078822565,0,0.357769017
ENSG00000269713.7,6.697384039,-0.301642294,0.00861142,0.018975317,0.021673085,0,0.180408436
ENSG00000274265.4,-2.138217588,0.12452697,0.563775761,0.51211225,0.511609161,0,0.714227775
