nm,int,b.cnd,e.int,e.cnd,pval,status,qval
ENSG00000266338.6,0.674391831,0.003736141,0.023264632,0.958724795,0.958406688,0,0.79506856
ENSG00000272419.6,0.263469386,-0.242780429,0.792915231,0.373599279,0.36439575,0,0.676341402
ENSG00000227372.11,0.005030268,-0.017315333,0.9648582,0.535902737,0.535906386,1,0.728874091
ENSG00000131788.15,0.939288477,-0.211391796,0.000203096,0.000657951,0.003535752,0,0.136846608
ENSG00000235169.7,0.424027408,-0.360781609,0.320557893,0.000791684,0.001265999,0,0.083996017
ENSG00000271601.3,0.043615968,8.73E-05,0.800759796,0.998450195,0.998248076,0,0.80356982
ENSG00000265972.5,0.104433458,-0.005089102,1.87E-05,0.393851941,0.394789811,0,0.684322684
ENSG00000264343.5,-0.047747924,-0.060807401,0.894548554,0.493795509,0.493054888,0,0.719929244
ENSG00000268043.7,-0.097626925,0.076363001,0.504148654,0.031585394,0.03441395,0,0.354251118
ENSG00000131791.7,0.248091481,-0.025407865,0.010015854,0.285107896,0.285061352,0,0.645780799
ENSG00000130764.9,-0.107503695,-0.003285943,0.110461543,0.843901788,0.844918065,0,0.780889163
ENSG00000131778.18,0.211847126,0.005988977,0.013540856,0.769321409,0.769470655,0,0.771573204
ENSG00000162836.11,-0.404028233,0.077801819,0.000150107,0.002478323,0.00272515,0,0.125868555
ENSG00000263956.6,-0.175310333,0.092434503,0.686050521,0.36989215,0.364530089,0,0.676341402
ENSG00000274020.2,-0.181632322,0.01847873,0.141310581,0.544078233,0.547469715,0,0.732291686
ENSG00000231551.8,-0.437529063,0.043648062,0.102401116,0.512068711,0.512737636,0,0.724302111
ENSG00000225871.2,0.663196773,-0.113316332,0.057703932,0.20410721,0.202615638,1,0.592824036
ENSG00000270629.5,-0.470644731,0.279944834,0.68367807,0.384348668,0.38348,0,0.683321827
ENSG00000178104.19,0.612723018,-0.08783596,0.249613406,0.499751175,0.5024104,0,0.723140965
ENSG00000269713.7,0.788464847,-0.012852049,0.135232297,0.92300512,0.922588339,0,0.790585678
ENSG00000274265.4,0.68021396,-0.101276323,0.256368918,0.48788343,0.488561691,0,0.718414308
ENSG00000271383.6,-0.362507059,-0.01891421,0.003793399,0.549361629,0.549555589,0,0.732378379
ENSG00000116198.12,-0.347074014,0.013320377,4.15E-05,0.517319056,0.517511831,0,0.724302111
ENSG00000277147.4,-1.395801891,0.279128262,0.007080344,0.020408848,0.02074026,0,0.298730337
ENSG00000150337.13,0.909875859,-0.113599249,0.167482359,0.483256804,0.485284424,0,0.717371175
ENSG00000203814.6,0.329655972,-0.00174112,0.003715024,0.94770149,0.948368604,0,0.793731609
ENSG00000261716.1,0.268292733,-0.031465235,0.013556679,0.233083593,0.232871533,1,0.615982156
ENSG00000184678.10,0.244724234,-0.008810473,0.655712821,0.942324712,0.942557279,0,0.793665652
ENSG00000198912.10,-0.20433046,-0.019294966,0.032634683,0.397445809,0.398113959,0,0.685575813
ENSG00000143401.14,-0.205833493,0.022766956,0.16685085,0.520624578,0.520510369,1,0.724302111
ENSG00000266472.5,0.245764021,-0.006645198,0.001038524,0.721916804,0.72257732,0,0.761176665
ENSG00000163125.15,0.179344904,-0.01151512,0.092600694,0.670606157,0.670580906,1,0.753548541
ENSG00000143382.14,0.303462141,0.012471053,0.209922258,0.840754902,0.841235576,0,0.779773498
ENSG00000203804.4,-0.051777,0.110372191,0.847869473,0.117613368,0.115941533,0,0.524036632
ENSG00000143384.12,0.068534157,0.020568187,0.031460332,0.010506788,0.011680444,0,0.242823735
ENSG00000143457.10,-0.216386925,0.012425691,0.081817642,0.700050163,0.701372664,0,0.758838558
ENSG00000131697.17,-0.297874416,0.034112579,0.033528167,0.30863997,0.308357123,0,0.65613197
ENSG00000163131.10,0.072227717,0.016546328,0.3085297,0.326084319,0.326593086,0,0.662659399
